interview__key,num_prod,Productos,Productos_genericos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos,per_ocupado,per_ocupado2
37-12-48-61,2,Huevo,Huevo,250,1,,4,1,,80,"piezas rotas, caducidad",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
93-83-50-31,1,Pollo,Pollo,87360,1,,5460,1,,0,Innecesario,5460,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
77-52-96-70,1,Naranja,Naranja,30,1,,5,1,,150,clima,2,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
77-52-96-70,2,Mandarina,Mandarina,30,1,,10,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
77-52-96-70,3,Guayaba,Guayaba,25,1,,8,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
45-84-84-07,1,Café en grano,Café en grano,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
45-84-84-07,2,Pasteles,Pasteles,2,6,pzas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
45-84-84-07,3,Tisanas,Tisanas,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
54-69-78-85,1,Pollo,Pollo,1500,1,,100,1,,4000,caducidad,50,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
63-23-60-25,1,Pollo fresco,Pollo,2000,1,,50,1,,15000,menor venta de pollo,20,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
12-33-17-05,1,Jitomate,Jitomate,7200,1,,720,1,NA,9125,condiciones climáticas,5,6,porcentaje,9,,#NULL!,#NULL!,,1,0 a 5 personas
12-06-38-41,1,Oaxaca,Oaxaca,150,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
12-06-38-41,2,Queso rayado,Quesos,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
12-06-38-41,3,Panela,Quesos,84,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
12-74-49-92,1,Carne de cerdo,Carne de cerdo,600,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,3,11 a 30 personas
12-74-49-92,2,Pollo,Pollo,240,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,3,11 a 30 personas
12-74-49-92,3,Res,Carne de res,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,3,11 a 30 personas
51-24-94-62,1,Pollo,Pollo,100,1,,3,1,,200,falta de venta,2,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,2,Papa,Papa,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,3,Fresa,Fresa,40,1,,5,1,,600,frescura de la fruta,5,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,4,Manzana,Manzana,40,1,,1,1,,50,frescura de la fruta,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,5,Plátano,Plátano,35,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,6,Uva,Uva,30,1,,2,1,,200,caducidad,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,7,Salchicha,Carnes frías y embutidos,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,8,Queso,Quesos,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,9,Arroz,Arroz,15,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,1,Pollo,Pollo,60,1,,2,1,,120,caducidad,1,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,2,Carne de res,Carne de res,90,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
